,Best months for climbing:,Continent:,Convenient Center:,Country:,Difficulty:,Elevation (feet):,Elevation (meters):,First successful climber(s):,Latitude:,Longitude:,Most recent eruption:,Nearest major airport:,Province:,Range/Region:,State:,Volcanic status:,Year first climbed:
Mount Stuart,"Jun, Jul, Aug",North America,"Leavenworth, Washington",United States,Technical Climb,9415.0,2869.692,A. McPherson and party,47.475158,-120.902395,,"Seattle, Washington",,Cascade Range,Washington,,1873.0
Mount Irvine,,North America,Lone Pine,United States,,13914.0,4240.9872,,36.5558,-118.262,,,,Sierra Nevada,California,,
Peak 7480,"Jan, Feb, Apr, May, Sep, Oct",North America,"Carlsbad, NM.",United States,Walk up,7480.0,2279.904,,32.0,-104.81700000000001,,"El Paso, TX.",,Southwest Basins and Ranges,Texas,,
Norton Peak,"Jun, Jul, Aug, Sep, Oct",North America,Ketchum,United States,Scramble,10336.0,3150.4128,,43.7619,-114.652,,Hailey,,Idaho-Bitterroot Rockies,Idaho,,
Mont Aiguille,"Jul, Aug, Sep",Europe,"Grenoble, France",France,Technical Climb,6842.0,2085.4416,Antoine de Ville,44.8333,5.55,,"Grenoble or Lyon, France",,Dauphine Alps,,,
Aiguille Verte,"Jul, Aug, Sep",Europe,"Chamonix, France",France,Basic Snow/Ice Climb,13524.0,4122.1152,"Edward Whymper, Christian Almer, Franz Biener",45.9833,6.433330000000001,,"Chamonix, France",,Savoy Alps,,,1865.0
Mount Alberta,"Jun, Jul, Aug, Sep",North America,"Jasper, Alberta",Canada,Technical Climb,11874.0,3619.1952,"Yuko Maki and party with , H. Fuhrer, H. Kohler , and J. Weber",52.288008000000005,-117.476463,,"Edmonton or Calgary, Alberta",Alberta,Canadian Rockies,,,1925.0
Aletschhorn,"Jul, Aug, Sep",Europe,"Bettmeralp or  Blatten,  Switzerland",Switzerland,Technical Climb,13763.0,4194.9624,"Francis Tuckett, J.J. Bennen, P. Bohren, Victor Tairraz",46.4667,7.9833300000000005,,"Bern, Switzerland",,Berner Oberland,,,1859.0
Alpamayo,"May, Jun, Jul, Aug, Sep",South America,"Huarez, Peru",Peru,Basic Snow/Ice Climb,19511.0,5946.9528,"G. Hauser, F. Knauss, B. Huhn, H. Wiedmann (German expedition)",-8.878203,-77.654371,,"Lima, Peru",,Peruvian Andes,,,1951.0
Ama Dablam,"Apr, May, Sep, Oct",Asia,"Namche Bazar, Nepal",Nepal,Major Mountain Expedition,22494.0,6856.1712,"Mike Gill, Barry Bishop, Mike Ward, Wally Romanes",27.861110999999998,86.861111,,"Kathmandu, Nepal",,Central Nepal Himalaya,,,1961.0
Amne Machin,"Jun, Jul, Aug",Asia,"Xining, China",China,Major Mountain Expedition,20610.0,6281.928000000001,"Galen Rowell,",34.798333,99.4625,,"Xining, China",,,,,1981.0
Aniakchak,"Jun, Jul",North America,"King Salmon or Port Heiden, Alaska",United States,Walk up,4400.0,1341.12,,56.8833,-158.167,1931,"Anchorage, Alaska",,Aleutian Range,Alaska,Active,
Ancohuma,"May, Jun, Jul, Aug, Sep",South America,"La Paz, Bolivia",Bolivia,Basic Snow/Ice Climb,21095.0,6429.755999999999,"R. Dienst, A. Schulze",-15.854270000000001,-68.541641,,"La Paz, Bolivia",,Bolivian Andes,,,1915.0
Annapurna,"Apr, May",Asia,"Pokhara, Nepal",Nepal,Major Mountain Expedition,26545.0,8090.916,"Maurice Herzog, Louis Lachenal, (French expedition)",28.584822999999997,83.989921,,"Kathmandu, Nepal",,Central Nepal Himalaya,,,1950.0
Api,"Apr, May",Asia,"Baitadi, Nepal",Nepal,Major Mountain Expedition,23399.0,7132.0152,"K. Hirabayashi, Gyltsen Norbu, (Japanese expedition)",30.0,80.9333,,"Kathmandu, Nepal",,Western Nepal Himalaya,,,1960.0
Argentera,"Jul, Aug, Sep",Europe,"Valdieri, Italy",Italy,Scramble,10817.0,3297.0216,"William Coolidge, Christian Almer",44.1667,7.3,,"Turin or Genoa, Italy, Nice, France",,Maritime Alps,,,1879.0
Mount Asgard,"Jun, Jul, Aug",North America,"Pangnirtung, Baffin Island",Canada,Technical Climb,6598.0,2011.0704,"Hans Weber, J. Marmet-Rothlisberger, F. Schwarzenbach",66.67113499999999,-65.2666,,"Pangnirtung, Baffin Island, (flights from Montreal, Quebec)",Nunavut,Baffin Island,,,1953.0
Askja,"Jul, Aug, Sep",Europe,"Akureyri, Iceland",Iceland,Walk up,4974.0,1516.0752,,65.05,-16.75,2001,"Akureyri, Iceland",,Iceland,,Active,
Mount Aspiring,"Jan, Feb, Mar, Dec",Australia/Oceania,"Wanaka, South Island",New Zealand,Technical Climb,9931.0,3026.9688,"Jack Clarke, Alex Graham, B. Head",-44.3833,168.733,,"Christchurch, South Island",,South Island,,,1909.0
Mount Assiniboine,"Jul, Aug, Sep",North America,"Banff, Alberta",Canada,Scramble,11870.0,3617.9759999999997,"James Outram, C. Bohren, C. Hasler",50.8667,-115.65,,"Calgary, Alberta",Alberta/British Columbia,Canadian Rockies,,,1901.0
Mount Athabasca,,North America,"Jasper, Alberta",Canada,Technical Climb,11452.0,3490.5696,"J. Norman Collie, Herman Wooley",52.180353000000004,-117.201548,,"Calgary, Alberta",Alberta,Canadian Rockies,,,1898.0
Atitlan,"Jan, Feb, Mar, Nov, Dec",North America,"Santiago or San Lucas Toliman Guatemala, both towns at the base of a trail leading to the summit.",Guatemala,Walk up,11604.0,3536.8992,,14.5833,-91.1833,,"Guatemala City, Guatemala",,Guatemala Ranges,,Active,
Ausangate,"May, Jun, Jul, Aug, Sep",South America,"Cuzco, Peru",Peru,Basic Snow/Ice Climb,20945.0,6384.036,"H. Harrer, H. Steinmetz, F. Marz, J. Wellenkamp",-13.7881,-71.2308,,"Cuzco, Peru",,Peruvian Andes,,,1953.0
Mount Baker,"Jan, Feb, Jun, Jul, Aug",Africa,"Mutsori, Zaire, Bugoye, Uganda",Uganda,Basic Snow/Ice Climb,15889.0,4842.9672,"Duke of the Abruzzi, J. Petigax, C. Ollier, J. Brocherel",0.366667,29.8833,,"Kampala, Uganda, Kigali, Rwanda, Bujumbura, Burundi, Nairobi, Kenya",,Ruwenzori,,,1906.0
Mount Baker,"May, Jun, Jul, Aug",North America,"Bellingham, WA",United States,Basic Snow/Ice Climb,10778.0,3285.1344,"E.T. Coleman, T. Stratton, J. Tenant, D. Ogilvey",48.776895,-121.814532,1880,"Seattle, WA or Vancouver, BC",,Cascade Range,Washington,Active,1868.0
Balaitous,"Jun, Jul, Aug, Sep",Europe,"Spain: Jaca, Sabiñanigo. France: Arrens",Spain,Basic Snow/Ice Climb,10322.0,3146.1456,"Peytier, Hossard and party",42.838716999999995,-0.290966,,"Lourdes or Toulouse, France, Zaragoza, Pamplona or Barcelona, Spain",,Pyrenees,,,1825.0
Ball's Pyramid,"Jan, Feb, Mar, Dec",Australia/Oceania,"Lord Howe Island, Australia",Australia,Technical Climb,1843.0,561.7464,Australian party,-31.7558,159.251,,"Sydney, Australia",,Outlying Islands,,,1965.0
Hyndman Peak,"Jul, Aug, Sep, Oct",North America,Ketchum and or Hailey,United States,Scramble,12009.0,3660.3432,E.T. Perkins and W. Griswold and also Judge George A. McLeod in that same time period,43.7492,-114.13,,Hailey-Sun valley(SUN),,Idaho-Bitterroot Rockies,Idaho,,
Gora Belukha,"Jun, Jul, Aug",Asia,"Gorno-Altaysk, Russia",Kazakhstan,Basic Snow/Ice Climb,14784.0,4506.1632,B.V. and M.V. Tronov,49.8067,86.5908,,"Barnaul,Russia, Semipalatinsk, Kazakhstan",,Altai,,,1914.0
Ben Nevis,"Jun, Jul, Aug",Europe,Fort William,United Kingdom,Walk up,4409.0,1343.8632,James Robertson,56.7979,-5.00419,,Glasgow,,Scottish Highlands,,Extinct,
Bernina,"Jul, Aug, Sep",Europe,"St. Moritz, Switzerland",Switzerland,Basic Snow/Ice Climb,13284.0,4048.9632,"Johann Coaz, Jon Ragut Tschamer, Lorenz Ragut Tschamer",46.382393,9.90824,,"Zurich, Switzerland",,Rhaetian Alps,,,1850.0
Mount Blackburn,"Jun, Jul, Aug",North America,"Copper Center or Strelna, Alaska",United States,Basic Snow/Ice Climb,16390.0,4995.6720000000005,"Dora Keen, G.W. Handy",61.7317,-143.433,,"Anchorage, Alaska",,Wrangell Mountains,Alaska,,1912.0
Bogda Peak,"Jul, Aug, Sep",Asia,Turpan,China,Basic Snow/Ice Climb,17864.0,5444.9472,,43.75,88.5333,,"Alma Ata, Kazachstan, Urumqi, China",,Eastern Tien Shan,,,
Pico Bolivar,"Jan, Feb, Mar, Nov, Dec",South America,"Mérida, Venezuela",Venezuela,Technical Climb,16332.0,4977.9936,Enrique Bourgoin,8.543610000000001,-71.0425,,"Mérida, Venezuela",,Cordillera de Merida,,,1935.0
Bonanza Peak,"May, Jun, Jul, Aug",North America,"Darrington, Washington",United States,Technical Climb,9511.0,2898.9528,"J. Leuthold, C. & B. James",48.238251,-120.866303,,"Seattle, Washington",,Cascade Range,Washington,,1937.0
Borah Peak (Mount Borah),"Jul, Aug, Sep",North America,"Mackay, Idaho",United States,Scramble,12662.0,3859.3776,Probably USGS Surveyor Thomas M. Bannon,44.1333,-113.78299999999999,,"Boise, Idaho",,Idaho-Bitterroot Rockies,Idaho,,
Boundary Peak,"Jun, Jul, Aug, Sep",North America,"Bishop, California",United States,Walk up,13143.0,4005.9864,,37.85,-118.35,,"Reno, Nevada",,Great Basin Ranges,Nevada,,
Cameroon Mountain,"Jan, Feb, Dec",Africa,"Buea, Cameroon",Cameroon,Walk up,13354.0,4070.2992,Sir Richard Burton,4.2,9.18333,,"Douala, Cameroon",,Cameroon Mountains,,Active,1861.0
Mount Carmel,"Apr, May, Jun",Asia,"Haifa, Israel",Israel,Walk up,1791.0,545.8968,,32.733333,35.05,,"Tel Aviv, Israel",,Sinai-Palestine Ranges,,,
Carrantuohill,"Jun, Jul, Aug, Sep",Europe,"Killarney, Ireland",Ireland,Walk up,3414.0,1040.5872,,52.0,-9.75,,"Shannon, Ireland",,Ireland,,,
Cathedral Peak,"Apr, May, Jun, Jul, Aug, Sep",Africa,"Winterton or Estcourt, South Africa",South Africa,Scramble,9856.0,3004.1088,"R.G. Kingdon, D.W. Bassett-Smith",-28.9167,29.15,,"Johannesburg or Durban, South Africa",,Drakensberg,,,1917.0
Cayambe,"Jan, Oct, Nov, Dec",South America,"Cayambe, Ecuador",Ecuador,Basic Snow/Ice Climb,18996.0,5789.9808,Edward Whymper and party,0.025105000000000002,-77.98919699999999,,"Quito, Ecuador",,Ecuador Andes,,,1880.0
Chimborazo,"Jun, Jul",South America,"Ambato, Ecuador",Ecuador,Basic Snow/Ice Climb,20565.0,6268.2119999999995,"Edward Whymper, with guides J. and L. Carrel",-1.469175,-78.81703399999999,,"Quito, Ecuador",,Ecuador Andes,,,1880.0
Chomolhari,"Apr, May, Sep, Oct",Asia,"Thimpu, Bhutan",Bhutan,Major Mountain Expedition,23997.0,7314.2856,Spenser Chapman and Sherpa porter Pasang Dawa Lama,27.8333,89.2667,,"Paro, Bhutan",,Bhutan Himalaya,,,1937.0
Chopicalqui,"May, Jun, Jul, Aug, Sep",South America,"Huaraz, Peru",Peru,Basic Snow/Ice Climb,20846.0,6353.8608,"P. Borchers, W. Bernhard, H. Hoerlin, E. Hein, E. Shneider",-9.08718,-77.57390500000001,,"Lima, Peru",,Peruvian Andes,,,1932.0
Cima Grande,"Jul, Aug, Sep",Europe,"Sesto or Lake Misurina, Italy",Italy,Technical Climb,9839.0,2998.9272,"P. Grogmann, F. Innerkofter, P. Salcher",46.3833,11.85,,"Venice, Italy",,Dolomites,,,1869.0
Pico de Orizaba,"Jan, Feb, Mar, Apr, Dec",North America,"Tlachichuca, Mexico",Mexico,,18405.0,5609.844,"F. Maynard, G. Reynolds",19.0167,-97.2667,,"Mexico City, Mexico",,Cordillera Neovolcanica,,,1848.0
Mount Clemenceau,,North America,"Banff, Alberta",Canada,Technical Climb,12001.0,3657.9048,"D. Durand, H.Hall, W. Harris, H.B. De V-Schwab",52.248193,-117.95848799999999,,"Calgary, Alberta",British Columbia,Canadian Rockies,,,1923.0
Clingman's Dome,"May, Jun, Jul, Aug, Sep, Oct",North America,"Gatlinburg, Tennessee",United States,Walk up,6643.0,2024.7864,,35.55,-83.5,,"Knoxville, Tennessee",,Blue Ridge Mountains,Tennessee/North Carolina,,
Cloudveil Dome,"May, Jun, Jul, Aug, Sep",North America,"Jackson, Wyoming",United States,Technical Climb,12026.0,3665.5248,"F. Fryxell, A. Hilding",43.7189,-110.807,,"Jackson, Wyoming",,Teton Range - Yellowstone Area,Wyoming,,1931.0
Nevado de Colima,"Jan, Feb, Mar, Apr, Dec",North America,"Colima City, Mexico,",Mexico,Scramble,14600.0,4450.08,,19.55,-103.633,1998,"Colima National Airport, located 15 km north to Colima City.",,Cordillera Neovolcanica,,Active,
Mount Columbia,"Jul, Aug, Sep",North America,"Jasper, Alberta",Canada,Technical Climb,12294.0,3747.2112,"James Outram, C. Kaufmann",52.148790000000005,-117.436209,,"Edmonton or Calgary, Alberta",Alberta/British Columbia,Canadian Rockies,,,1902.0
Pik Imeni Ismail Samani,"Jun, Jul, Aug",Asia,"Osh, Kyrgyzstan, Dzhirgatal, Tajikistan",Tajikistan,Basic Snow/Ice Climb,24590.0,7495.031999999999,Evgenii Abalakov - solo,38.95,72.0167,,"Tashkent, Uzbekistan, Dushanbe, Tajikistan",,Pamir,,,1933.0
Aoraki/Mount Cook,"Feb, Mar",Australia/Oceania,"Mount Cook Village, New Zealand",New Zealand,Basic Snow/Ice Climb,12316.0,3753.9168,"Tom Fyfe, George Graham, Jack Clarke",-43.594934,170.141895,,"Christchurch, New Zealand",,South Island,,,1894.0
Corno Grande,"Jul, Aug, Sep",Europe,"L'Aquila, Italy",Italy,Walk up,9554.0,2912.0592,"Orazio Delfico, Francesco De Marchi",42.4667,13.5667,,"Rome, Italy",,Apennines,,,1794.0
Coropuna,"May, Jun, Jul, Aug, Sep",South America,"Arequipa, Peru",Peru,Basic Snow/Ice Climb,21079.0,6424.8792,H. Bingham's party,-15.5203,-72.6572,,"Arequipa, Peru",,Peruvian Andes,,Extinct,1911.0
Cotopaxi,"Jan, Feb, Mar, Apr, Dec",South America,"Quito, Ecuador",Ecuador,Basic Snow/Ice Climb,19347.0,5896.9656,"Dr. Wilhelm Reiss, A.M. Escobar",-0.680556,-78.43777800000001,1904,"Quito, Ecuador",,Ecuador Andes,,,1872.0
Pico Cristobal Colon,"Jan, Feb, Mar, Dec",South America,Valledupar (25 miles southeast of the mountain),Colombia,Basic Snow/Ice Climb,18947.0,5775.0456,"W. Wood, A. Bakerwell, E. Praolini",10.838575,-73.686762,,"Barranquilla, Colombia, Maracaibo, Venezuela",,Colombian Andes,,,1939.0
Monte Darwin,"Jan, Feb, Mar, Dec",South America,"Ushuaia, Argentina",Chile,Basic Snow/Ice Climb,8163.0,2488.0824,"Eric Shipton, E. Garcia, F. Vivanco, C. Marangunic",-54.75,-69.4833,,"Ushuaia, Argentina",,Patagonia,,,1961.0
Mount Deborah,"Apr, May, Jun",North America,"Delta, Alaska",United States,Basic Snow/Ice Climb,12339.0,3760.9272,"Heinrich Harrer, Fred Beckey, Henry Meybohm",63.6375,-147.237,,"Fairbanks, Alaska",,Alaska Range,Alaska,,1954.0
Damavand,"Jul, Aug, Sep",Asia,"Raineh, Iran (village at the south base of the mountain)",Iran,,18602.0,5669.8896,W.T. Thomson,35.9558,52.1086,,"Teheran, Iran",,Alborz,,Extinct,1837.0
Smiley Mountain,"Jun, Jul, Aug, Sep",North America,Arco,United States,Scramble,11508.0,3507.6384,T.M. Bannon,43.6997,-113.81,,Boise,,Idaho-Bitterroot Rockies,Idaho,,1915.0
Devils Tower,"Jun, Jul, Aug",North America,"Devils Tower, Wyoming",United States,Technical Climb,5112.0,1558.1376,"Fritz Wiessner, William House, Lawrence Coveny",44.5906,-104.715,,"Rapid City, South Dakota",,Great Plains,Wyoming,Extinct,1937.0
Dhaulagiri,"Apr, May",Asia,"Pokhara, Nepal",Nepal,Major Mountain Expedition,26794.0,8166.8112,"Kurt Diemberger, P. Diener, E. Forrer, A. Schelbert, Nyima Dorji, Nawang Dorji, (Swiss/Austrian expedition)",28.7,83.5,,"Kathmandu, Nepal",,Western Nepal Himalaya,,,1960.0
Distaghil Sar,"Jul, Aug, Sep",Asia,"Skardu, Pakistan",India,Major Mountain Expedition,25869.0,7884.8712,"G. Starker, D. Marchart of Stefan's expedition",36.3333,75.1833,,"Islamabad, Pakistan",,Karakoram,,,1960.0
Monte Dizgrazia,"Jul, Aug, Sep",Europe,"Sondrio, Italy",Italy,Basic Snow/Ice Climb,12067.0,3678.0216,"Leslie Stephen, E.S. Kennedy, Melchior Anderegg, Thomas Cox",46.2667,9.75,,"Bergamo, Italy",,Lepontine Alps,,,1862.0
Dom,"Jul, Aug, Sep",Europe,"Randa, Switzerland",Switzerland,Basic Snow/Ice Climb,14911.0,4544.8728,"J.L. Davies, Johann Zumtaugwald, Johann Kronig, Hieronymous Brantschen",46.09256,7.858925999999999,,"Geneva or Bern, Switzerland",,Pennine Alps,,,1858.0
